what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1427263212303
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427263212303
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427263212303
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427263212303
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1427263212303
os,sysinfo,,,"win32",1427263212303
arch,sysinfo,,,"x86_64",1427263212303
ws,sysinfo,,,"win32",1427263212303
locale,sysinfo,,,"en_US",1427263212303
processors,sysinfo,,,"4",1427263212303
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427263212303
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1427263212303
java.specification.name,sysinfo,,,"Java Platform API Specification",1427263212303
java.specification.vendor,sysinfo,,,"Oracle Corporation",1427263212303
java.specification.version,sysinfo,,,"1.7",1427263212303
java.vendor,sysinfo,,,"Oracle Corporation",1427263212303
java.version,sysinfo,,,"1.7.0_75",1427263212303
java.vm.info,sysinfo,,,"mixed mode",1427263212303
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1427263212303
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427263212303
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1427263212303
java.vm.specification.version,sysinfo,,,"1.7",1427263212303
java.vm.vendor,sysinfo,,,"Oracle Corporation",1427263212303
java.vm.version,sysinfo,,,"24.75-b04",1427263212303
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1427263212319
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1427263212459
