what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999328888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999331498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999422320
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1426999428893
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1426999431159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426999462674
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426999471976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999537752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999901143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999903726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999905044
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426999905076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999945712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999949421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426999961466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000012208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000018193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000018911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000021503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000026428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000050792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000051544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000055679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000063442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000080860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000094011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000106847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000125515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000131336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000132207
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427000135273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000138156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000140720
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1427000140767
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427000140966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000145407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000160030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000286975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000309784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000331940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000345163
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427000345273
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427000345288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000347933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000350094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000356294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000357630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000410462
